column,type,trained,metric_primary,metric_secondary,fallback
Childhood_Antibiotics,regression,True,mse=0.11160,r2=0.0798,none
Alcohol-Related_Injury,regression,True,mse=0.03446,r2=0.0933,none
Alcohol_Drinking_Frequency,regression,True,mse=0.04356,r2=0.4509,none
Serious_Accident,regression,True,mse=0.08273,r2=0.0628,none
Combat_War_Exposure,regression,True,mse=0.03397,r2=0.0647,none
Appetite_Changes,regression,True,mse=0.10221,r2=0.3431,none
Stressful_Thoughts,regression,True,mse=0.12213,r2=0.3859,none
Concentration_Issues,regression,True,mse=0.09228,r2=0.3689,none
Alcohol_Reduction_Recommendation,regression,True,mse=0.06356,r2=0.1625,none
Stress_Upset,regression,True,mse=0.12909,r2=0.4505,none
Cannabis_Use,regression,True,mse=0.12062,r2=0.2852,none
Violent_Death_Witness,regression,True,mse=0.10684,r2=0.0847,none
Avoided_Stressful_Activities,regression,True,mse=0.11409,r2=0.3014,none
Movement/Speech_Changes,regression,True,mse=0.04043,r2=0.2784,none
Recent_Tiredness/Low_Energy,regression,True,mse=0.12960,r2=0.4816,none
Violent_Crime_Victim,regression,True,mse=0.13953,r2=0.1039,none
Sleep_Disturbances,regression,True,mse=0.13989,r2=0.4401,none
Recent_Restlessness,regression,True,mse=0.06582,r2=0.3790,none
Health-Related_Happiness,regression,True,mse=0.07755,r2=0.2775,none
Recent_Loss_of_Interest,regression,True,mse=0.06951,r2=0.5438,none
Physical_Abuse_Child,regression,True,mse=0.12559,r2=0.1692,none
Prolonged_Sadness/Depression,regression,True,mse=0.11611,r2=0.5318,none
Loss_of_Interest,regression,True,mse=0.10975,r2=0.5404,none
Felt_Hated_Child,regression,True,mse=0.10187,r2=0.2082,none
Belittlement_Partner,regression,True,mse=0.12995,r2=0.2890,none
Self-Harm_History,regression,True,mse=0.03025,r2=0.2708,none
Physical_Violence_Adult,regression,True,mse=0.08520,r2=0.2633,none
Professional_Mental_Help,regression,True,mse=0.09884,r2=0.5859,none
Relaxation_Difficulty,regression,True,mse=0.09671,r2=0.5312,none
Sexual_Interference_Partner,regression,True,mse=0.04193,r2=0.2413,none
Recent_Depression,regression,True,mse=0.07231,r2=0.5820,none
Uncontrollable_Worrying,regression,True,mse=0.06690,r2=0.6334,none
Recent_Nervousness/Anxiety,regression,True,mse=0.09104,r2=0.5473,none
Self-Harm_Contemplation,regression,True,mse=0.06572,r2=0.4576,none
Excessive_Worrying,regression,True,mse=0.08668,r2=0.6060,none
Life_Threatening_Illness,regression,True,mse=0.10246,r2=0.2421,none
Felt_Loved_Child,regression,False,mse=0.01200,r2=0.0489,median
Recent_Irritability,regression,True,mse=0.12271,r2=0.3905,none
Recent_Foreboding,regression,True,mse=0.08438,r2=0.4020,none
Recent_Inadequacy,regression,True,mse=0.08905,r2=0.4241,none
General_Happiness,regression,True,mse=0.03505,r2=0.2935,none
Life_Worthlessness,regression,True,mse=0.11928,r2=0.4400,none
Take_Doctor_Child,regression,True,mse=0.01835,r2=0.0953,none
Recent_Suicidal/Self-Harm_Thoughts,regression,True,mse=0.02573,r2=0.3898,none
Substance/Behavior_Addiction,regression,True,mse=0.04985,r2=0.1453,none
Molested_Child,regression,True,mse=0.05788,r2=0.2745,none
Sexual_Assault_Victim,regression,True,mse=0.08077,r2=0.3780,none
Mental_Distress_Impact,regression,True,mse=0.09673,r2=0.5618,none
Pay_Rent_Mortgage,regression,True,mse=0.02908,r2=0.0683,none
Mania/Excitability,regression,True,mse=0.03714,r2=0.1225,none
Life_Meaningfulness,regression,True,mse=0.01426,r2=0.0799,none
Confiding_Relationship,regression,True,mse=0.07173,r2=0.1078,none
Extreme_Irritability,regression,True,mse=0.14411,r2=0.2507,none
Family_IBS,regression,True,mse=0.12395,r2=0.1030,none
Prolonged_Anxiety,regression,True,mse=0.13143,r2=0.3255,none
Protein,regression,True,mse=124.35085,r2=0.8720,none
Energy,regression,True,mse=71430.10976,r2=0.9931,none
Folate,regression,True,mse=4286.06229,r2=0.7532,none
Carbohydrate,regression,True,mse=222.16047,r2=0.9801,none
Alcohol,regression,True,mse=57.53842,r2=0.9072,none
Food_Weight,regression,True,mse=193223.76103,r2=0.7794,none
