"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.28307,1.2553,0.13969,-1.728e-20,0.35149,2.2173,0
-0.26353,1.2404,0.12994,3.1001e-20,0.36961,2.3315,0
-0.24532,1.2263,0.1207,1.908e-20,0.38841,2.45,0
-0.22831,1.2129,0.11201,-6.3099e-20,0.4079,2.5728,0
-0.2124,1.2002,0.10388,-9.0919e-20,0.42812,2.7003,0
-0.19751,1.188,0.096224,-1.4617e-20,0.44909,2.8324,0
-0.18211,1.1754,0.089189,4.2076e-20,0.47083,2.9695,0
-0.65191,0.27338,0.012951,-1.3384e-21,0.083909,1.066,0
-0.66274,0,0,0,0.078459,0.99692,0
-0.63038,0.5632,0.050663,-7.0452e-22,0.089562,1.1377,0
-0.60604,0.83464,0.10898,4.314e-20,0.095424,1.212,0
-0.57494,1.0533,0.16431,1.9352e-20,0.1015,1.289,0
-0.53797,1.2036,0.20472,-5.4581e-20,0.10781,1.369,0
-0.49872,1.2892,0.22737,-7.7048e-20,0.11435,1.4519,0
-0.4601,1.326,0.23476,-3.6008e-21,0.12113,1.5379,0
-0.42379,1.3321,0.2317,-2.0274e-20,0.12817,1.6271,0
-0.39048,1.3225,0.22284,-5.78e-20,0.13547,1.7195,0
-0.36024,1.3063,0.21136,3.3493e-20,0.14304,1.8155,0
-0.33284,1.2885,0.19906,9.9963e-20,0.15088,1.915,0
-0.30794,1.271,0.18675,8.5771e-21,0.15903,2.0182,0
-0.28523,1.2546,0.1748,-9.2484e-20,0.16747,2.1252,0
-0.26442,1.2392,0.16335,-1.7948e-20,0.17623,2.2362,0
-0.24528,1.2249,0.15246,4.6872e-20,0.18531,2.3513,0
-0.22762,1.2115,0.14217,-2.0578e-20,0.19473,2.4707,0
-0.21126,1.1989,0.13248,-5.8202e-20,0.2045,2.5946,0
-0.19607,1.1868,0.12338,-1.4352e-20,0.21463,2.723,0
-0.18195,1.1755,0.11484,2.8403e-20,0.22514,2.8563,0
-0.16765,1.1638,0.10661,2.2209e-20,0.23604,2.9944,0
-0.66369,0.33048,0.036126,1.446e-19,-1.5359e-17,1.0692,0
-0.67537,0,0,0,0,1,0
-0.63931,0.65055,0.095455,1.4814e-19,-3.1288e-17,1.1409,0
-0.60978,0.92499,0.16765,-4.3349e-20,-4.781e-17,1.2153,0
-0.57202,1.1262,0.22665,-1.5508e-19,-6.4945e-17,1.2925,0
-0.52873,1.2496,0.26307,-1.7496e-19,-8.2717e-17,1.3725,0
-0.48462,1.3093,0.27827,-5.6423e-20,-1.0115e-16,1.4555,0
-0.44271,1.3268,0.27813,1.3465e-19,-1.2027e-16,1.5416,0
-0.40435,1.3212,0.26906,8.2394e-20,-1.4009e-16,1.6309,0
-0.36986,1.3057,0.25588,-3.4743e-20,-1.6066e-16,1.7235,0
-0.33901,1.2872,0.24133,3.7383e-20,-1.8199e-16,1.8196,0
-0.31138,1.2688,0.2267,1.1001e-19,-2.0411e-16,1.9192,0
-0.28654,1.2516,0.21251,1.1517e-20,-2.2705e-16,2.0225,0
-0.26411,1.2357,0.19894,-1.1007e-19,-2.5084e-16,2.1297,0
-0.24374,1.221,0.18605,-7.5032e-20,-2.7552e-16,2.2408,0
-0.22518,1.2075,0.17388,6.6432e-21,-3.0112e-16,2.3561,0
-0.20819,1.1948,0.16241,7.9963e-21,-3.2766e-16,2.4757,0
-0.19258,1.183,0.15163,1.3126e-20,-3.552e-16,2.5997,0
-0.1782,1.1718,0.14151,1.7424e-20,-3.8375e-16,2.7283,0
-0.16491,1.1613,0.13204,2.0406e-20,-4.1337e-16,2.8617,0
-0.1518,1.1507,0.12266,3.2278e-20,0,3,0
-0.37005,-0.007218,0.084957,2.6492e-20,1.0692,0,0
-0.36853,0,0,0,1,0,0
-0.38944,-0.012273,0.095079,2.4994e-21,1.066,0.083909,0
-0.38829,0,0,0,0.99692,0.078459,0
-0.37242,-0.019629,0.12533,6.1102e-20,1.1409,0,0
-0.39147,-0.025235,0.14261,7.4317e-21,1.1377,0.089562,0
-0.37402,-0.037508,0.13763,3.2934e-20,1.2153,0,0
-0.39339,-0.040776,0.15964,-5.4893e-21,1.212,0.095424,0
-0.37575,-0.057609,0.13294,-2.6942e-20,1.2925,0,0
-0.39598,-0.057251,0.15783,-1.0239e-20,1.289,0.1015,0
-0.37795,-0.078417,0.11873,-4.5759e-20,1.3725,0,0
-0.39953,-0.073799,0.1451,-2.8275e-20,1.369,0.10781,0
-0.38062,-0.099176,0.099253,-6.5251e-20,1.4555,0,0
-0.40402,-0.089888,0.12611,5.7541e-21,1.4519,0.11435,0
-0.38365,-0.11935,0.076341,5.3309e-20,1.5416,0,0
-0.40931,-0.10505,0.10297,6.7896e-20,1.5379,0.12113,0
-0.38685,-0.13855,0.050311,6.71e-20,1.6309,0,0
-0.41519,-0.1189,0.076172,2.3215e-20,1.6271,0.12817,0
-0.39002,-0.15642,0.020764,-9.0383e-22,1.7235,0,0
-0.42141,-0.13113,0.045419,-2.7188e-21,1.7195,0.13547,0
-0.39285,-0.17266,-0.012862,3.8925e-20,1.8196,0,0
-0.42755,-0.1415,0.010174,2.9836e-20,1.8155,0.14304,0
-0.39504,-0.18701,-0.050972,7.7014e-20,1.9192,0,0
-0.43314,-0.14979,-0.029962,3.9492e-20,1.915,0.15088,0
-0.39622,-0.19917,-0.093679,6.197e-20,2.0225,0,0
-0.43766,-0.15588,-0.075097,-5.93e-21,2.0182,0.15903,0
-0.39596,-0.20884,-0.14074,1.6165e-20,2.1297,0,0
-0.44043,-0.15965,-0.12498,-2.4277e-20,2.1252,0.16747,0
-0.39392,-0.2157,-0.19148,-3.7694e-20,2.2408,0,0
-0.44078,-0.16104,-0.17892,6.3314e-22,2.2362,0.17623,0
-0.3898,-0.21947,-0.2448,-6.0692e-20,2.3561,0,0
-0.43804,-0.16004,-0.23578,-3.4322e-20,2.3513,0.18531,0
-0.38351,-0.2199,-0.29912,2.1163e-20,2.4757,0,0
-0.4317,-0.15675,-0.29389,-1.5202e-20,2.4707,0.19473,0
-0.37514,-0.21683,-0.35254,4.2335e-20,2.5997,0,0
-0.42153,-0.15151,-0.35119,5.6865e-20,2.5946,0.2045,0
-0.36499,-0.21001,-0.40293,-1.8269e-20,2.7283,0,0
-0.40748,-0.14458,-0.4053,3.1346e-20,2.723,0.21463,0
-0.35371,-0.19939,-0.44814,-1.7477e-20,2.8617,0,0
-0.38948,-0.13572,-0.45395,-1.0744e-20,2.8563,0.22514,0
-0.36788,-0.12894,-0.4974,1.8149e-20,2.9944,0.23604,0
-0.34197,-0.18488,-0.48801,2.8817e-20,3,0,0
-0.40882,-0.017563,0.10083,-1.8651e-20,1.0562,0.16731,0
-0.40818,0,0,0,0.98769,0.15643,0
-0.41022,-0.030708,0.154,-2.4132e-20,1.1273,0.17859,0
-0.41223,-0.042758,0.17569,-8.3909e-21,1.201,0.19028,0
