"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,1,0,0,3.7419,0.70079,0
0,1,0,0,3.9653,0.70024,0
0,1,0,0,4.1971,0.69968,0
0,1,0,0,4.4375,0.69909,0
0,1,0,0,4.6868,0.69847,0
0,1,0,0,4.9455,0.69784,0
0,1,0,0,5.2137,0.69718,0
0,1,0,0,5.492,0.6965,0
0,1,0,0,5.7806,0.69579,0
0,1,0,0,6.08,0.69506,0
0,1,0,0,6.3905,0.6943,0
0,1,0,0,6.7126,0.69351,0
0,1,0,0,7.0467,0.69269,0
0,1,0,0,7.3932,0.69184,0
0,1,0,0,7.7527,0.69096,0
0,1,0,0,8.1255,0.69004,0
0,1,0,0,8.5122,0.68909,0
0,1,0,0,8.9133,0.68811,0
0,1,0,0,9.3294,0.68709,0
0,1,0,0,9.7609,0.68603,0
0,1,0,0,10.209,0.68493,0
0,1,0,0,10.673,0.68379,0
0,1,0,0,11.154,0.68261,0
0,1,0,0,11.654,0.68139,0
0,1,0,0,12.172,0.68012,0
0,1,0,0,12.709,0.6788,0
0,1,0,0,13.267,0.67743,0
0,1,0,0,13.845,0.67601,0
0,1,0,0,14.445,0.67454,0
0,1,0,0,15.067,0.67302,0
0,1,0,0,15.712,0.67144,0
0,1,0,0,16.381,0.66979,0
0,1,0,0,17.075,0.66809,0
0,1,0,0,17.796,0.66633,0
0,1,0,0,18.542,0.66449,0
0,1,0,0,19.317,0.66259,0
0,1,0,0,20.121,0.66062,0
0,1,0,0,20.954,0.65858,0
0,1,0,0,21.818,0.65646,0
0,1,0,0,22.715,0.65426,0
0,1,0,0,23.645,0.65198,0
0,1,0,0,24.61,0.64961,0
0,1,0,0,25.611,0.64716,0
0,1,0,0,26.649,0.64462,0
0,1,0,0,27.725,0.64197,0
0,1,0,0,28.842,0.63924,0
0,1,0,0,30,0.6364,0
0,1,0,0,3.0561,0.92978,0
0,1,0,0,3.2568,0.92918,0
0,1,0,0,3.4649,0.92855,0
0,1,0,0,3.6808,0.9279,0
0,1,0,0,3.9048,0.92722,0
0,1,0,0,4.1371,0.92652,0
0,1,0,0,4.3781,0.9258,0
0,1,0,0,4.628,0.92504,0
0,1,0,0,4.8872,0.92426,0
0,1,0,0,5.1561,0.92345,0
0,1,0,0,5.4351,0.92261,0
0,1,0,0,5.7244,0.92174,0
0,1,0,0,6.0244,0.92083,0
0,1,0,0,6.3357,0.91989,0
0,1,0,0,6.6585,0.91892,0
0,1,0,0,6.9934,0.91791,0
0,1,0,0,7.3407,0.91686,0
0,1,0,0,7.701,0.91578,0
0,1,0,0,8.0747,0.91465,0
0,1,0,0,8.4623,0.91348,0
0,1,0,0,8.8643,0.91227,0
0,1,0,0,9.2813,0.91101,0
0,1,0,0,9.7139,0.90971,0
0,1,0,0,10.163,0.90835,0
0,1,0,0,10.628,0.90695,0
0,1,0,0,11.111,0.90549,0
0,1,0,0,11.611,0.90398,0
0,1,0,0,12.131,0.90242,0
0,1,0,0,12.669,0.90079,0
0,1,0,0,13.228,0.89911,0
0,1,0,0,13.808,0.89736,0
0,1,0,0,14.409,0.89555,0
0,1,0,0,15.032,0.89367,0
0,1,0,0,15.679,0.89172,0
0,1,0,0,16.35,0.88969,0
0,1,0,0,17.045,0.8876,0
0,1,0,0,17.767,0.88542,0
0,1,0,0,18.516,0.88316,0
0,1,0,0,19.292,0.88082,0
0,1,0,0,20.098,0.87839,0
0,1,0,0,20.933,0.87587,0
0,1,0,0,21.799,0.87326,0
0,1,0,0,22.698,0.87055,0
0,1,0,0,23.63,0.86774,0
0,1,0,0,24.597,0.86482,0
0,1,0,0,25.6,0.8618,0
0,1,0,0,26.641,0.85866,0
0,1,0,0,27.72,0.8554,0
0,1,0,0,28.839,0.85203,0
0,1,0,0,30,0.84853,0
0,1,0,0,2.9753,1.1514,0
0,1,0,0,3.1766,1.1507,0
0,1,0,0,3.3854,1.15,0
0,1,0,0,3.602,1.1493,0
0,1,0,0,3.8266,1.1485,0
0,1,0,0,4.0596,1.1477,0
0,1,0,0,4.3013,1.1469,0
0,1,0,0,4.552,1.1461,0
0,1,0,0,4.812,1.1452,0
0,1,0,0,5.0817,1.1443,0
0,1,0,0,5.3614,1.1434,0
0,1,0,0,5.6516,1.1424,0
0,1,0,0,5.9526,1.1414,0
0,1,0,0,6.2647,1.1403,0
0,1,0,0,6.5886,1.1392,0
0,1,0,0,6.9244,1.1381,0
0,1,0,0,7.2728,1.1369,0
0,1,0,0,7.6342,1.1357,0
0,1,0,0,8.009,1.1345,0
0,1,0,0,8.3977,1.1332,0
0,1,0,0,8.801,1.1318,0
